_id,RcnNormCR,RusStarCR,RkrStarCR,RcnStarCR,stage,valid,date,totalTime,studyTime,recogTime,genderTarget,gender,age,cnStarFamiliar,krStarFamiliar,usStarFamiliar,cnNormFamiliar,cnStarMeanRT,krStarMeanRT,cnNormMeanRT,usStarMeanRT,cnStarCorrectRate,krStarCorrectRate,cnNormCorrectRate,usStarCorrectRate,cnStarStdRT,krStarStdRT,cnNormStdRT,usStarStdRT,device-width,device-height,device-min
664713a50ebda7e662d4f015,0.5417,0.599,0.5,0.432,有效数据,有效数据,2024-5-17 4:21:57 PM,839643,86445,138889,男,女,19,2,0,1,0,1193.5,1740.5417,1245.7917,1607.2083,0.5,0.5,0.5417,0.625,402.1132,1423.9036,592.3347,767.3268,360,796,360
664714296910a73c6b3121a3,0.5833,0.4583,0.4167,0.5833,有效数据,有效数据,2024/5/17 16:24:08,467824,63721,96907,女,女,19,0,0,0,0,1148.5417,989.625,944.9167,954.7083,0.5833,0.4167,0.5833,0.4583,433.071,409.3804,203.5186,242.3852,320,693,320
664714490ebda7e662d4f016,0.6667,0.8333,0.5,0.5153,有效数据,有效数据,2024/5/17 16:24:40,483140,,94334,男,女,19,2,0,0,0,965.125,1257.1667,815.9583,892.3333,0.5833,0.5,0.6667,0.8333,384.4125,313.6963,181.9851,240.9997,390,844,390
664714cc584c629175a7b9f4,0.6667,0.7813,0.6093,0.5043,有效数据,有效数据,2024/5/17 16:26:51,544423,67142,105176,男,女,18,6,3,2,0,1108.3333,894.75,878.9167,1500.3333,0.7083,0.7083,0.6667,0.8333,308.1826,423.8716,381.7837,683.7678,400,867,400
664715340ebda7e662d4f017,0.6427,0.724,0.5833,0.4967,有效数据,有效数据,2024/5/17 16:28:34,592504,81332,149808,女,女,18,5,0,1,2,1630.2083,1321,1701,1589.7917,0.6667,0.5833,0.6667,0.75,696.9907,404.2397,805.7362,630.6538,360,800,360
664715e0fa1b3a471fdc93a6,0.75,0.495,0.75,0.4167,有效数据,有效数据,2024/5/17 16:31:27,485505,,93869,女,女,28,0,0,5,0,699,960.6667,1084.5,1167.0417,0.4167,0.75,0.75,0.625,519.6484,509.2436,392.4061,865.6747,367,793,367
66471607187c28b27954723c,0.6667,0.5573,0.6667,0.6667,有效数据,有效数据,2024/5/17 16:32:03,461695,63725,112905,男,男,25,0,0,1,0,1050.9167,1491.7917,1157.125,1004.5417,0.6667,0.6667,0.6667,0.5833,361.2986,1282.027,1045.4925,263.7062,400,889,400
66471613fa1b3a471fdc93a7,0.6363,0.5367,0.559,0.4627,有效数据,有效数据,2024/5/17 16:32:17,648853,65302,145897,女,女,19,6,2,5,6,1188.1667,1141.4167,2420.7917,1328.6667,0.6667,0.625,0.7083,0.6667,412.8568,423.4504,1112.5368,541.5299,360,800,360
66471663187c28b27954723d,0.6603,0.2293,0.618,0.648,有效数据,有效数据,2024/5/17 16:33:38,574016,78261,129185,男,女,19,3,4,4,4,1547.0417,1484.0833,1097.375,1254.2083,0.75,0.75,0.7083,0.3333,346.0337,569.8084,366.2786,365.6711,414,896,414
664716d30ebda7e662d4f019,0.5833,0.573,0.6007,0.6743,有效数据,有效数据,2024/5/17 16:35:31,554399,83090,134826,男,女,18,1,2,2,0,1407.2083,1555.3333,1295.5833,1359.625,0.7083,0.6667,0.5833,0.625,335.4058,751.2828,309.3159,443.2436,390,844,390
66471729187c28b27954723e,0.75,0.6667,0.6753,0.2543,有效数据,有效数据,2024/5/17 16:36:54,685334,,112190,女,女,18,6,1,0,0,1558.5833,1222.9583,962.9583,930.0833,0.4583,0.7083,0.75,0.6667,2692.4527,221.31,1204.395,643.1802,401,889,401
66471752187c28b27954723f,0.6667,0.7083,0.5087,0.5877,有效数据,有效数据,2024/5/17 16:37:37,718661,85362,164284,男,女,42,6,1,0,0,1869,1612.7917,1639.9583,1723.4167,0.7917,0.5417,0.6667,0.7083,882.9291,614.8081,508.9805,718.4835,400,889,400
664718a6b8016b7a1c4c3092,0.75,0.8543,0.5833,0.6293,有效数据,有效数据,2024/5/17 16:43:16,584536,71212,151938,男,女,19,6,0,4,0,1383.6667,1757.4583,1270.1667,1919.4583,0.8333,0.5833,0.75,0.9583,389.4356,604.2623,315.4963,1915.9686,400,889,400
664718d5f279c1c557e169ca,0.625,0.5573,0.5833,0.6667,有效数据,有效数据,2024/5/17 16:44:03,543808,61552,118132,女,女,20,0,0,1,0,1510.3333,1004.4583,1249.625,1157.75,0.6667,0.5833,0.625,0.5833,745.6604,232.3006,446.3216,336.8916,360,795,360
664718fbb8016b7a1c4c3093,0.7317,0.75,0.6337,0.7127,有效数据,有效数据,2024/5/17 16:44:42,569453,,149891,女,女,18,6,1,0,5,1652.875,1625.1667,1611.5833,1355.8333,0.9167,0.6667,0.7917,0.75,704.1862,892.9723,741.3633,355.2883,1120,700,700
6647196ff279c1c557e169cb,0.7083,0.599,0.6353,0.671,有效数据,有效数据,2024/5/17 16:46:38,427333,,90335,女,女,20,6,6,1,0,956.4167,1028.0833,847.6667,931.7917,0.875,0.8333,0.7083,0.625,361.8489,365.4467,246.5666,305.7473,390,844,390
664719a2f279c1c557e169cc,0.625,0.75,0.368,0.216,有效数据,有效数据,2024/5/17 16:47:28,468389,65503,84206,男,男,19,1,4,0,0,791.7083,695.125,1027.75,994,0.25,0.5,0.625,0.75,331.5755,255.0888,419.6045,207.3703,360,800,360
664719b7b8016b7a1c4c3094,0.827,0.698,0.4583,0.4167,有效数据,有效数据,2024/5/17 16:47:50,516352,,126224,女,女,19,0,0,2,4,1210.7917,1036.625,1525.0417,1486.875,0.4167,0.4583,0.875,0.75,367.548,233.3718,386.1145,369.7979,375,812,375
